,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
85755,4.78,262.85396193,-23.96258036,7.65,4.91,-25.9,17.523597462,1991.25,Ophiucus
85792,2.84,262.96050661,-49.87598159,13.46,-31.27,-67.15,17.530700440666667,1991.25,Ara
85819,4.89,263.04340826,55.18411077,32.96,148.53,54.24,17.53622721733333,1991.25,Draco
85822,4.35,263.05373826,86.58632924,17.85,10.54,53.97,17.536915884,1991.25,Ursa Minor
85829,4.86,263.06616249,55.17280674,32.64,143.71,62.46,17.537744166,1991.25,Draco
85927,1.62,263.40219373,-37.10374835,4.64,-8.9,-29.95,17.56014624866667,1991.25,Scorpius
86032,2.08,263.73335321,12.56057584,69.84,110.08,-222.61,17.582223547333335,1991.25,Ophiucus
86092,4.56,263.91504719,-46.50559076,8.46,-25.13,-38.32,17.594336479333332,1991.25,Ara
86170,4.26,264.13686148,-38.63486521,22.64,-18.47,-182.29,17.609124098666666,1991.25,Scorpius
86201,4.77,264.23787472,68.75718933,42.62,1.34,321.05,17.615858314666664,1991.25,Draco
86228,1.86,264.32969072,-42.99782155,11.99,6.06,-0.95,17.621979381333333,1991.25,Scorpius
86263,3.54,264.39677181,-15.39840835,30.93,-39.3,-61.27,17.626451454,1991.25,Serpens
86284,4.58,264.46133236,-8.11872126,5.94,-11.7,-20.38,17.630755490666665,1991.25,Ophiucus
86414,3.82,264.86621847,46.00632216,6.58,-7.17,3.97,17.657747898,1991.25,Hercules
86486,4.76,265.09888468,-49.41515481,45.72,104.28,-177.67,17.67325897866667,1991.25,Ara
86565,4.24,265.35381884,-12.87517268,19.41,-72.16,-55.22,17.690254589333332,1991.25,Serpens
86614,4.57,265.4846127,72.14949916,45.38,26.6,-269.77,17.69897418,1991.25,Draco
86670,2.39,265.62199908,-39.02992092,7.03,-6.49,-25.55,17.708133272,1991.25,Scorpius
86736,4.86,265.85772897,-21.68308566,57.0,-97.93,-44.57,17.723848598,1991.25,Ophiucus
